regime,arm,seed,test_level,best_epoch,val_macro_f1,macro_f1,micro_f1,hamming_accuracy,exact_match_accuracy,macro_map
clean,fusion_shuf,2,1.0,28,0.668417133682583,0.009194019590995016,0.020322886989553656,0.5640082836735556,0.0497443049744305,0.3640518708102519
clean,sar,0,0.0,22,0.6336670780851539,0.6037912007622356,0.6535353535353535,0.7680571404420777,0.10692701069270107,0.7058221457362918
clean,sar,0,0.2,22,0.6336670780851539,0.6037912007622356,0.6535353535353535,0.7680571404420777,0.10692701069270107,0.7058221457362918
clean,sar,0,0.4,22,0.6336670780851539,0.6037912007622356,0.6535353535353535,0.7680571404420777,0.10692701069270107,0.7058221457362918
clean,sar,0,0.6,22,0.6336670780851539,0.6037912007622356,0.6535353535353535,0.7680571404420777,0.10692701069270107,0.7058221457362918
clean,sar,0,0.8,22,0.6336670780851539,0.6037912007622356,0.6535353535353535,0.7680571404420777,0.10692701069270107,0.7058221457362918
clean,sar,0,1.0,22,0.6336670780851539,0.6037912007622356,0.6535353535353535,0.7680571404420777,0.10692701069270107,0.7058221457362918
clean,sar,1,0.0,19,0.6409798236583344,0.6109317714903008,0.6473211400504104,0.7693673133003677,0.09530450953045096,0.7039681921449928
clean,sar,1,0.2,19,0.6409798236583344,0.6109317714903008,0.6473211400504104,0.7693673133003677,0.09530450953045096,0.7039681921449928
clean,sar,1,0.4,19,0.6409798236583344,0.6109317714903008,0.6473211400504104,0.7693673133003677,0.09530450953045096,0.7039681921449928
clean,sar,1,0.6,19,0.6409798236583344,0.6109317714903008,0.6473211400504104,0.7693673133003677,0.09530450953045096,0.7039681921449928
clean,sar,1,0.8,19,0.6409798236583344,0.6109317714903008,0.6473211400504104,0.7693673133003677,0.09530450953045096,0.7039681921449928
clean,sar,1,1.0,19,0.6409798236583344,0.6109317714903008,0.6473211400504104,0.7693673133003677,0.09530450953045096,0.7039681921449928
clean,sar,2,0.0,29,0.6418259718724053,0.6112516292393843,0.6614310645724258,0.7704239043151178,0.10599721059972106,0.713105001405705
clean,sar,2,0.2,29,0.6418259718724053,0.6112516292393843,0.6614310645724258,0.7704239043151178,0.10599721059972106,0.713105001405705
clean,sar,2,0.4,29,0.6418259718724053,0.6112516292393843,0.6614310645724258,0.7704239043151178,0.10599721059972106,0.713105001405705
clean,sar,2,0.6,29,0.6418259718724053,0.6112516292393843,0.6614310645724258,0.7704239043151178,0.10599721059972106,0.713105001405705
clean,sar,2,0.8,29,0.6418259718724053,0.6112516292393843,0.6614310645724258,0.7704239043151178,0.10599721059972106,0.713105001405705
clean,sar,2,1.0,29,0.6418259718724053,0.6112516292393843,0.6614310645724258,0.7704239043151178,0.10599721059972106,0.713105001405705
degraded,optical,0,0.0,26,0.6715805755864024,0.6887714701624466,0.7203923468152095,0.804826507755378,0.12877731287773128,0.7730604366527487
degraded,optical,0,0.2,26,0.6715805755864024,0.6809468805302398,0.7155246121900574,0.8031359621317781,0.11854951185495119,0.7595784344606387
degraded,optical,0,0.4,26,0.6715805755864024,0.6723350392566848,0.7073900042716788,0.7973458433709479,0.11483031148303115,0.7531690120588764
degraded,optical,0,0.6,26,0.6715805755864024,0.6538211443199091,0.6923690834305359,0.7882168970035078,0.10785681078568107,0.7355646955125331
degraded,optical,0,0.8,26,0.6715805755864024,0.6037664331919019,0.6583733265976257,0.7713537044080977,0.09762900976290098,0.6974571515650578
degraded,optical,0,1.0,26,0.6715805755864024,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.36050885423270357
degraded,optical,1,0.0,35,0.6692018077919393,0.6830169856747266,0.7182081816499044,0.8069819534254681,0.1320316132031613,0.7724508922134945
degraded,optical,1,0.2,35,0.6692018077919393,0.6728095577913829,0.7100173568063476,0.802290689319978,0.1199442119944212,0.7621726406597847
degraded,optical,1,0.4,35,0.6692018077919393,0.6635156421052619,0.7033294066588133,0.797768479776848,0.11529521152952116,0.7580633608707547
degraded,optical,1,0.6,35,0.6692018077919393,0.6533197250841953,0.6933068174756075,0.7914289336883479,0.11343561134356113,0.7389027622416274
degraded,optical,1,0.8,35,0.6692018077919393,0.5976517033456058,0.6571755434091776,0.7720299226575377,0.10181311018131102,0.7003044075205257
degraded,optical,1,1.0,35,0.6692018077919393,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.36050885423270357
degraded,optical,2,0.0,38,0.6787385183258087,0.6988131065738177,0.7256195400249599,0.804868771395968,0.13156671315667132,0.7820595756338949
degraded,optical,2,0.2,38,0.6787385183258087,0.6948855927944321,0.7228132387706856,0.801783525632898,0.12412831241283125,0.7714898281505373
degraded,optical,2,0.4,38,0.6787385183258087,0.6844567589496832,0.7153232949512843,0.796246988715608,0.11157601115760112,0.7648011786333261
degraded,optical,2,0.6,38,0.6787385183258087,0.6647162375355077,0.7010876060714712,0.7885972697688178,0.1101813110181311,0.7469550920244656
degraded,optical,2,0.8,38,0.6787385183258087,0.6075459504900704,0.6625496789972486,0.7667469675837877,0.09251510925151092,0.7078487756800551
degraded,optical,2,1.0,38,0.6787385183258087,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.36050885423270357
degraded,fusion,0,0.0,15,0.6742431236802373,0.6650772132181962,0.7086080912493317,0.7926968429060479,0.1199442119944212,0.7508668917234584
degraded,fusion,0,0.2,15,0.6742431236802373,0.6582721431324322,0.7042321064620549,0.7914711973289379,0.11808461180846118,0.7487863098314148
degraded,fusion,0,0.4,15,0.6742431236802373,0.6548249088092783,0.6993761996161229,0.7881746333629179,0.11204091120409113,0.74577085243516
degraded,fusion,0,0.6,15,0.6742431236802373,0.6492638318579327,0.695369030390738,0.7864840877393179,0.11668991166899116,0.7390916718898949
degraded,fusion,0,0.8,15,0.6742431236802373,0.6322272466505703,0.683610653989151,0.7806094416973078,0.1097164109716411,0.7267833128634991
degraded,fusion,0,1.0,15,0.6742431236802373,0.46395755764359675,0.56501641321096,0.7255821816491272,0.08414690841469084,0.6957424619453524
degraded,fusion,1,0.0,38,0.6922048699793827,0.6965472324201524,0.7167825824009676,0.802079371117028,0.11854951185495119,0.7725206389288638
degraded,fusion,1,0.2,38,0.6922048699793827,0.6896358798631392,0.7104124779138488,0.799120916275728,0.11529521152952116,0.7692272708200597
degraded,fusion,1,0.4,38,0.6922048699793827,0.6862518939170598,0.7087668065948775,0.7976839524956679,0.11483031148303115,0.7642398382718095
degraded,fusion,1,0.6,38,0.6922048699793827,0.6804526876731208,0.7028707259096727,0.793964752123748,0.11343561134356113,0.7562352003180077
degraded,fusion,1,0.8,38,0.6922048699793827,0.6575607165642767,0.6822499074873566,0.7822577236803179,0.10367271036727103,0.7398961215562398
degraded,fusion,1,1.0,38,0.6922048699793827,0.4777039572191638,0.5407242958235049,0.7202146992941972,0.08926080892608089,0.7009091471541917
degraded,fusion,2,0.0,17,0.6744685036333832,0.6698021428048887,0.6976515430960285,0.7921474155783779,0.11250581125058112,0.7499877975441183
degraded,fusion,2,0.2,17,0.6744685036333832,0.6640257325119039,0.6904924973538384,0.7899074426271079,0.1101813110181311,0.7472489417012276
