variant,seed,test_level,mse_hat_vs_clean,mse_degraded_vs_clean,cos_hat_vs_clean,cos_degraded_vs_clean,cos_hat_vs_degraded,mse_improvement,recovers,mse_mean_predictor,cos_mean_predictor,r2_hat,r2_degraded,centered_cos_hat,centered_cos_degraded,beats_mean_predictor
ed,1,0.8,0.006366375833749771,0.04208514839410782,0.9866650104522705,0.9104012846946716,0.9185135364532471,0.03571877256035805,True,0.011276578530669212,0.9757827520370483,0.4354337340501848,-2.7320848943363196,0.6221591830253601,0.020805155858397484,True
ed,1,1.0,0.006366375833749771,0.08551614731550217,0.9866650104522705,0.8181148171424866,0.8299633264541626,0.0791497714817524,True,0.011276578530669212,0.9757827520370483,0.4354337340501848,-6.583518979885753,0.6221591830253601,-0.13776278495788574,True
ed,2,0.0,0.006146867759525776,0.0,0.9869943857192993,1.0,0.9869943857192993,-0.006146867759525776,False,0.011276578530669212,0.9757827520370483,0.454899574121,1.0,0.6382771730422974,1.0,True
ed,2,0.2,0.006146867759525776,0.008332911878824234,0.9869943857192993,0.9822772741317749,0.9767715930938721,0.002186044119298458,True,0.011276578530669212,0.9757827520370483,0.454899574121,0.26104253553850665,0.6382771730422974,0.6384398341178894,True
ed,2,0.4,0.006146867759525776,0.017251700162887573,0.9869943857192993,0.9632935523986816,0.962955892086029,0.011104832403361797,True,0.011276578530669212,0.9757827520370483,0.454899574121,-0.5298700856795935,0.6382771730422974,0.37913018465042114,True
ed,2,0.6,0.006146867759525776,0.02802927978336811,0.9869943857192993,0.940339207649231,0.9447863698005676,0.021882412023842335,True,0.011276578530669212,0.9757827520370483,0.454899574121,-1.4856191713768614,0.6382771730422974,0.18504689633846283,True
ed,2,0.8,0.006146867759525776,0.04208514839410782,0.9869943857192993,0.9104012846946716,0.920193076133728,0.03593828063458204,True,0.011276578530669212,0.9757827520370483,0.454899574121,-2.7320848943363196,0.6382771730422974,0.020805155858397484,True
ed,2,1.0,0.006146867759525776,0.08551614731550217,0.9869943857192993,0.8181148171424866,0.8313579559326172,0.07936927955597639,True,0.011276578530669212,0.9757827520370483,0.454899574121,-6.583518979885753,0.6382771730422974,-0.13776278495788574,True
ed_residual,0,0.0,0.00891228299587965,0.0,0.9826756715774536,1.0,0.9826756715774536,-0.00891228299587965,False,0.011276578530669212,0.9757827520370483,0.20966426370900748,1.0,0.7798429131507874,1.0,True
ed_residual,0,0.2,0.004422503523528576,0.008332911878824234,0.9908422827720642,0.9822772741317749,0.9814559817314148,0.003910408355295658,True,0.011276578530669212,0.9757827520370483,0.6078151265917606,0.26104253553850665,0.8075146079063416,0.6384398341178894,True
ed_residual,0,0.4,0.005548123735934496,0.017251700162887573,0.9881702661514282,0.9632935523986816,0.9810094833374023,0.011703576426953077,True,0.011276578530669212,0.9757827520370483,0.5079958233035743,-0.5298700856795935,0.7203764319419861,0.37913018465042114,True
ed_residual,0,0.6,0.009663515724241734,0.02802927978336811,0.979240894317627,0.940339207649231,0.9808385372161865,0.018365764059126377,True,0.011276578530669212,0.9757827520370483,0.14304541063057286,-1.4856191713768614,0.47512105107307434,0.18504689633846283,True
ed_residual,0,0.8,0.018313774839043617,0.04208514839410782,0.9603241682052612,0.9104012846946716,0.980864405632019,0.0237713735550642,True,0.011276578530669212,0.9757827520370483,-0.6240542101697917,-2.7320848943363196,0.14582423865795135,0.020805155858397484,False
