regime,arm,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
clean,optical,0,0.8,Inland waters,379,0.169238683127572,0.8680738786279684,0.2832544123977615,0.15715882972837011,329,1615,50,157
clean,optical,0,0.8,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.0,0.0,0.6790955587073944,0,0,996,1155
clean,optical,0,0.8,Marine waters,116,0.453125,1.0,0.6236559139784946,0.9999999999999998,116,140,0,1895
clean,optical,0,0.8,Mixed forest,1214,0.638692098092643,0.9654036243822076,0.7687766480813382,0.7818234170920657,1172,663,42,274
clean,optical,0,0.8,Pastures,916,0.0,0.0,0.0,0.6672474602418498,0,0,916,1235
clean,optical,0,0.8,"Transitional woodland, shrub",885,0.0,0.0,0.0,0.5116662065729168,0,0,885,1266
clean,optical,0,0.8,Urban fabric,265,0.6666666666666666,0.007547169811320755,0.014925373134328358,0.3802279719756722,2,1,263,1885
clean,optical,0,1.0,Arable land,883,0.0,0.0,0.0,0.4105067410506741,0,0,883,1268
clean,optical,0,1.0,Broad-leaved forest,511,0.0,0.0,0.0,0.23756392375639238,0,0,511,1640
clean,optical,0,1.0,Complex cultivation patterns,1172,0.0,0.0,0.0,0.5448628544862855,0,0,1172,979
clean,optical,0,1.0,Coniferous forest,1193,0.0,0.0,0.0,0.5546257554625755,0,0,1193,958
clean,optical,0,1.0,Inland waters,379,0.0,0.0,0.0,0.17619711761971177,0,0,379,1772
clean,optical,0,1.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.0,0.0,0.4630404463040446,0,0,996,1155
clean,optical,0,1.0,Marine waters,116,0.05392840539284054,1.0,0.1023378914865461,0.05392840539284054,116,2035,0,0
clean,optical,0,1.0,Mixed forest,1214,0.0,0.0,0.0,0.5643886564388656,0,0,1214,937
clean,optical,0,1.0,Pastures,916,0.0,0.0,0.0,0.4258484425848443,0,0,916,1235
clean,optical,0,1.0,"Transitional woodland, shrub",885,0.0,0.0,0.0,0.41143654114365413,0,0,885,1266
clean,optical,0,1.0,Urban fabric,265,0.0,0.0,0.0,0.12319851231985124,0,0,265,1886
