variant,regime,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
ed,ed_r1,0,1.0,Complex cultivation patterns,1172,0.0,0.0,0.0,0.7976697182400568,0,0,1172,979
ed,ed_r1,0,1.0,Coniferous forest,1193,0.9901477832512315,0.3369656328583403,0.5028142589118199,0.8920087812242459,402,4,791,954
ed,ed_r1,0,1.0,Inland waters,379,0.0,0.0,0.0,0.6803606251582668,0,0,379,1772
ed,ed_r1,0,1.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.0,0.0,0.6848878319644315,0,0,996,1155
ed,ed_r1,0,1.0,Marine waters,116,0.10131004366812227,1.0,0.18398096748612214,0.9999999999999997,116,1029,0,1006
ed,ed_r1,0,1.0,Mixed forest,1214,1.0,0.0008237232289950577,0.0016460905349794238,0.77587852572315,1,0,1213,937
ed,ed_r1,0,1.0,Pastures,916,0.0,0.0,0.0,0.6400804112476448,0,0,916,1235
ed,ed_r1,0,1.0,"Transitional woodland, shrub",885,0.0,0.0,0.0,0.5188090886367971,0,0,885,1266
ed,ed_r1,0,1.0,Urban fabric,265,0.6106870229007634,0.3018867924528302,0.40404040404040403,0.4535755520265824,80,51,185,1835
ed,ed_r2,0,0.0,Arable land,883,0.8048162230671736,0.7191392978482446,0.7595693779904307,0.8606445477036337,635,154,248,1114
ed,ed_r2,0,0.0,Broad-leaved forest,511,0.5194805194805194,0.3913894324853229,0.44642857142857145,0.5115738314865733,200,185,311,1455
ed,ed_r2,0,0.0,Complex cultivation patterns,1172,0.7519434628975264,0.9078498293515358,0.822574410514109,0.8516260063988501,1064,351,108,628
ed,ed_r2,0,0.0,Coniferous forest,1193,0.8928571428571429,0.8172673931265717,0.8533916849015317,0.946472215672607,975,117,218,841
ed,ed_r2,0,0.0,Inland waters,379,0.8604651162790697,0.5857519788918206,0.6970172684458399,0.8197638631665108,222,36,157,1736
ed,ed_r2,0,0.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6680227827502034,0.8242971887550201,0.7379775280898876,0.782556188411806,821,408,175,747
ed,ed_r2,0,0.0,Marine waters,116,0.9508196721311475,1.0,0.9747899159663865,0.9999999999999997,116,6,0,2029
ed,ed_r2,0,0.0,Mixed forest,1214,0.729901269393512,0.8525535420098846,0.7864741641337386,0.8316213109752628,1035,383,179,554
ed,ed_r2,0,0.0,Pastures,916,0.6703417861080485,0.6637554585152838,0.6670323642347779,0.7552380087386843,608,299,308,936
ed,ed_r2,0,0.0,"Transitional woodland, shrub",885,0.6374622356495468,0.2384180790960452,0.3470394736842105,0.5678348941795381,211,120,674,1146
ed,ed_r2,0,0.0,Urban fabric,265,0.7063492063492064,0.33584905660377357,0.45524296675191817,0.572185842816716,89,37,176,1849
ed,ed_r2,0,0.2,Arable land,883,0.7600472813238771,0.7281993204983013,0.7437825332562175,0.8427046255957058,643,203,240,1065
ed,ed_r2,0,0.2,Broad-leaved forest,511,0.5480769230769231,0.33463796477495106,0.4155528554070474,0.5061659798937539,171,141,340,1499
ed,ed_r2,0,0.2,Complex cultivation patterns,1172,0.7496423462088698,0.89419795221843,0.8155642023346303,0.8522819349078119,1048,350,124,629
ed,ed_r2,0,0.2,Coniferous forest,1193,0.8681898066783831,0.8281642917015927,0.8477048477048477,0.9442173982406231,988,150,205,808
ed,ed_r2,0,0.2,Inland waters,379,0.851145038167939,0.5883905013192612,0.6957878315132605,0.8213562697054448,223,39,156,1733
ed,ed_r2,0,0.2,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6887709991158267,0.7821285140562249,0.7324870709920075,0.7798493416903116,779,352,217,803
ed,ed_r2,0,0.2,Marine waters,116,0.943089430894309,1.0,0.9707112970711297,0.9999999999999998,116,7,0,2028
ed,ed_r2,0,0.2,Mixed forest,1214,0.7289586305278174,0.841845140032949,0.7813455657492355,0.8311552812212164,1022,380,192,557
ed,ed_r2,0,0.2,Pastures,916,0.6856492027334852,0.6572052401746725,0.6711259754738016,0.7536759046674271,602,276,314,959
ed,ed_r2,0,0.2,"Transitional woodland, shrub",885,0.6411609498680739,0.2745762711864407,0.38449367088607594,0.5660801165476823,243,136,642,1130
ed,ed_r2,0,0.2,Urban fabric,265,0.7168141592920354,0.30566037735849055,0.42857142857142855,0.5560351839564615,81,32,184,1854
ed,ed_r2,0,0.4,Arable land,883,0.747737556561086,0.7485843714609286,0.7481607243916242,0.8326584410807951,661,223,222,1045
ed,ed_r2,0,0.4,Broad-leaved forest,511,0.5511551155115512,0.3268101761252446,0.4103194103194103,0.5030015383987605,167,136,344,1504
ed,ed_r2,0,0.4,Complex cultivation patterns,1172,0.7389758179231863,0.886518771331058,0.8060512024825446,0.850652031862174,1039,367,133,612
ed,ed_r2,0,0.4,Coniferous forest,1193,0.8754416961130742,0.8306789606035205,0.8524731182795698,0.9391348532659961,991,141,202,817
ed,ed_r2,0,0.4,Inland waters,379,0.8533834586466166,0.5989445910290238,0.703875968992248,0.8128483988902357,227,39,152,1733
ed,ed_r2,0,0.4,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6751700680272109,0.7971887550200804,0.7311233885819521,0.7689415259342589,794,382,202,773
ed,ed_r2,0,0.4,Marine waters,116,0.943089430894309,1.0,0.9707112970711297,0.9999999999999997,116,7,0,2028
ed,ed_r2,0,0.4,Mixed forest,1214,0.7142857142857143,0.8525535420098846,0.7773188133683815,0.8248750959286398,1035,414,179,523
ed,ed_r2,0,0.4,Pastures,916,0.6666666666666666,0.648471615720524,0.6574432761483121,0.7468103221977593,594,297,322,938
ed,ed_r2,0,0.4,"Transitional woodland, shrub",885,0.6055045871559633,0.2983050847457627,0.3996971990915973,0.5569221039482588,264,172,621,1094
ed,ed_r2,0,0.4,Urban fabric,265,0.75,0.2490566037735849,0.37393767705382436,0.5421264553089857,66,22,199,1864
ed,ed_r2,0,0.6,Arable land,883,0.7298524404086265,0.7281993204983013,0.7290249433106576,0.8196989399412896,643,238,240,1030
ed,ed_r2,0,0.6,Broad-leaved forest,511,0.5514950166112956,0.324853228962818,0.4088669950738916,0.49872244392061515,166,135,345,1505
ed,ed_r2,0,0.6,Complex cultivation patterns,1172,0.7323636363636363,0.8592150170648464,0.7907341970946211,0.8438491700692123,1007,368,165,611
ed,ed_r2,0,0.6,Coniferous forest,1193,0.8664259927797834,0.8046940486169321,0.834419817470665,0.9309292029681463,960,148,233,810
ed,ed_r2,0,0.6,Inland waters,379,0.8470588235294118,0.5699208443271768,0.6813880126182965,0.812258903798585,216,39,163,1733
ed,ed_r2,0,0.6,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6720475785896347,0.7941767068273092,0.728025770823746,0.7597000193631678,791,386,205,769
ed,ed_r2,0,0.6,Marine waters,116,0.943089430894309,1.0,0.9707112970711297,0.9999999999999997,116,7,0,2028
ed,ed_r2,0,0.6,Mixed forest,1214,0.7071330589849109,0.8492586490939045,0.7717065868263473,0.8085641988806729,1031,427,183,510
ed,ed_r2,0,0.6,Pastures,916,0.6622516556291391,0.6550218340611353,0.6586169045005489,0.7283444737726833,600,306,316,929
ed,ed_r2,0,0.6,"Transitional woodland, shrub",885,0.5971370143149284,0.32994350282485874,0.42503639010189226,0.5564010916415637,292,197,593,1069
ed,ed_r2,0,0.6,Urban fabric,265,0.8378378378378378,0.2339622641509434,0.36578171091445427,0.5103938237417799,62,12,203,1874
ed,ed_r2,0,0.8,Arable land,883,0.6778741865509761,0.7078142695356738,0.6925207756232687,0.7618999521226126,625,297,258,971
