regime,masking_pct,class,support,f1_B,f1_C,sar_gain
degraded,40,Urban fabric,265,0.4476885644768856,0.3876404494382022,-0.06
degraded,60,Arable land,883,0.7475783475783476,0.7101016138673042,-0.0375
degraded,60,Broad-leaved forest,511,0.4292134831460674,0.3641092327698309,-0.0651
degraded,60,Complex cultivation patterns,1172,0.7883386581469649,0.7947122861586314,0.0064
degraded,60,Coniferous forest,1193,0.8274044795783926,0.8306148055207027,0.0032
degraded,60,Inland waters,379,0.4790874524714829,0.7045454545454546,0.2255
degraded,60,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6994535519125683,0.714936247723133,0.0155
degraded,60,Marine waters,116,0.978902953586498,0.8888888888888888,-0.09
degraded,60,Mixed forest,1214,0.7615293653921955,0.7779390420899854,0.0164
degraded,60,Pastures,916,0.6355029585798817,0.5898389095415117,-0.0457
degraded,60,"Transitional woodland, shrub",885,0.4608108108108108,0.3922779922779922,-0.0685
degraded,60,Urban fabric,265,0.3842105263157894,0.3739376770538243,-0.0103
degraded,80,Arable land,883,0.6843817787418656,0.6840277777777778,-0.0004
degraded,80,Broad-leaved forest,511,0.3918269230769231,0.3360655737704918,-0.0558
degraded,80,Complex cultivation patterns,1172,0.7749903512157468,0.7849378881987578,0.0099
degraded,80,Coniferous forest,1193,0.7989031078610603,0.8219294517637059,0.023
degraded,80,Inland waters,379,0.4653846153846154,0.6895565092989986,0.2242
degraded,80,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6808721506442021,0.7019498607242339,0.0211
degraded,80,Marine waters,116,0.9666666666666668,0.8821292775665399,-0.0845
degraded,80,Mixed forest,1214,0.751495811727164,0.7765302426657008,0.025
degraded,80,Pastures,916,0.6083788706739527,0.5888958203368684,-0.0195
degraded,80,"Transitional woodland, shrub",885,0.2216117216117216,0.3305227655986509,0.1089
degraded,80,Urban fabric,265,0.2969187675070028,0.3579545454545454,0.061
degraded,100,Arable land,883,0.0,0.0045197740112994,0.0045
degraded,100,Broad-leaved forest,511,0.0,0.0193050193050193,0.0193
degraded,100,Complex cultivation patterns,1172,0.0,0.6954022988505747,0.6954
degraded,100,Coniferous forest,1193,0.0,0.7448979591836735,0.7449
degraded,100,Inland waters,379,0.0,0.6762589928057554,0.6763
degraded,100,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.0,0.5866983372921615,0.5867
degraded,100,Marine waters,116,0.1023378914865461,0.8498168498168498,0.7475
degraded,100,Mixed forest,1214,0.0,0.7604438642297651,0.7604
degraded,100,Pastures,916,0.0,0.0342612419700214,0.0343
degraded,100,"Transitional woodland, shrub",885,0.0,0.3393558523173605,0.3394
degraded,100,Urban fabric,265,0.0,0.3925729442970822,0.3926
